PLANT;PN_ASS;PN_COM;DATEFROM_VALID;BOM_QTY
71;E000924;E000810;01/03/07;1
71;E000926;E000131;01/03/07;1
71;E000930;E001407;27/12/10;1
71;E000936;E000812;01/03/07;1
71;E000937;E000812;07/10/09;1
71;E000941;E000813;01/03/07;1
71;E000942;E000812;12/02/09;1
71;E000944;E000128;01/03/07;1
71;E000945;E000812;01/03/07;1
71;E000946;E000129;01/03/07;1
71;E000947;E000129;01/03/07;1
71;E000949;E000812;07/03/24;1
71;E000950;E000233;01/03/07;1
71;E000958;E001407;27/12/10;1
71;E000962;E000233;01/03/07;1
71;E000964;E000131;01/03/07;1
71;E000966;E000233;01/03/07;1
71;E000967;E000233;01/03/07;1
71;E000968;E000233;27/01/09;1
71;E000979;E000810;01/03/07;1
71;E000980;E000812;01/03/07;1
71;E000986;E000812;01/03/07;1
71;E000987;E000812;01/03/07;1
71;E000991;E000129;01/03/07;1
71;E000992;E000812;23/01/08;1
71;E000993;E000128;01/03/07;1
71;E000997;E000131;01/03/07;1
71;E001003;E000812;23/03/09;1
71;E001008;E000812;25/07/08;1
71;E001012;E000813;22/08/12;1
71;E001013;E000812;01/04/09;1
71;E001020;E001007;11/02/08;1
71;E001021;E001007;29/03/08;1
71;E001031;E001277;02/02/09;1
71;E001037;E000642;23/10/09;1
71;E001047;E000812;18/02/08;1
71;E001048;E000128;01/03/07;1
71;E001052;E000812;29/06/09;1
71;E001054;E000812;09/04/10;1
71;E001055;E000131;01/03/07;1
71;E001056;E000131;01/03/07;1
71;E001057;E000131;30/08/07;1
71;E001058;E000131;01/03/07;1
71;E001059;E000131;01/03/07;1
71;E001060;E001277;17/07/08;1
71;E001061;E001277;30/12/08;1
71;E001062;E001277;13/07/09;1
71;E001063;E001277;19/05/08;1
71;E001064;E001277;02/02/09;1
71;E001068;E000812;31/08/07;1
71;E001073;E000241;01/03/07;1
71;E001077;E000850;14/09/07;1
71;E001079;E000129;03/04/08;1
71;E001083;E002150;16/09/10;1
71;E001091;E000233;10/12/07;1,05
71;E001092;E000812;03/09/08;1
71;E001093;E000812;02/07/09;1
71;E001094;E000998;10/12/07;1
71;E001096;E000131;15/02/08;1
71;E001097;E000131;15/02/08;1
71;E001098;E001277;19/05/08;1
71;E001099;E000850;22/04/08;1,05
71;E001100;E001277;10/02/09;1
71;E001102;E001277;16/01/09;1
71;E001103;E000128;16/04/08;1
71;E001104;E000812;24/07/08;1
71;E001105;E000812;26/09/08;1
71;E001108;E000129;06/05/08;1
71;E001110;E000131;05/05/08;1
71;E001111;E000131;05/05/08;1
71;E001112;E000128;06/05/08;0
71;E001113;E000131;07/05/08;1
71;E001114;E000131;27/05/08;1
71;E001115;E000233;12/05/08;1
71;E001116;E001101;04/06/08;1
71;E001119;E000233;13/07/09;1
71;E001120;E000131;29/05/08;1
71;E001121;E000129;09/06/08;1
71;E001122;E000812;24/07/08;1
71;E001123;E001277;09/10/08;1
71;E001124;E001188;04/06/08;1
71;E001131;E000131;16/07/08;1
71;E001135;E000812;12/01/09;1
71;E001136;E000812;12/01/09;1
71;E001137;E000233;03/07/08;1
71;E001138;E002150;30/03/11;1
71;E001139;E000812;14/07/08;1
71;E001142;E000812;22/07/08;1
71;E001142;E000812;21/04/11;1
71;E001142;E000812;21/04/11;1
71;E001143;E000129;24/07/08;1
71;E001145;E000812;24/11/08;1
71;E001146;E000131;09/10/08;1
71;E001147;E000128;01/10/08;1
71;E001148;E000813;06/08/08;1
71;E001155;E000128;09/12/08;1
71;E001158;E000233;01/09/08;1
71;E001159;E000233;01/09/08;1
71;E001161;E000129;09/09/08;1
71;E001165;E001237;24/09/08;1
71;E001166;E000812;09/06/09;1
71;E001167;E001101;02/10/08;1
71;E001168;E001101;02/10/08;1
71;E001188;E002150;22/06/11;1
71;E001189;E000812;31/08/07;1
71;E001190;E000241;27/05/09;1
71;E001192;E000241;04/03/10;1
71;E001194;E000241;24/01/12;1
71;E001195;E000812;30/08/07;1
71;E001196;E000812;28/08/07;1
71;E001199;E000131;20/09/07;1
71;E001201;E000850;06/11/07;1,05
71;E001202;E000233;12/11/07;1
71;E001203;E000813;04/09/07;1
71;E001204;E000813;14/02/08;1
71;E001205;E000129;21/09/07;1
71;E001206;E000129;24/09/07;1
71;E001207;E000233;18/09/07;1
71;E001208;E000812;12/10/07;1
71;E001209;E000233;18/09/07;1
71;E001210;E000131;06/11/07;1,05
71;E001211;E000812;20/09/07;1
71;E001214;E000233;26/09/07;1,05
71;E001215;E000131;28/07/14;1
71;E001216;E000131;06/11/07;1,05
71;E001217;E000131;02/10/07;1,05
71;E001218;E000131;03/10/07;1,05
71;E001219;E000233;06/11/07;1,05
71;E001221;E000812;12/11/07;1
71;E001223;E000233;09/11/07;1
71;E001224;E000131;08/11/07;1
71;E001225;E000131;08/11/07;1
71;E001226;E000850;05/11/07;1,05
71;E001227;E000850;18/12/07;1
71;E001229;E000241;16/11/07;1
71;E001230;E000241;16/11/07;1
71;E001233;E001277;19/05/08;1
71;E001234;E000850;05/01/22;1
71;E001241;E000233;05/12/07;1
71;E001242;E001101;04/12/07;1
71;E001243;E000131;13/12/07;1
71;E001245;E000128;22/01/08;1
71;E001250;E000129;17/03/09;1
71;E001252;E000131;30/01/08;1
71;E001253;E000233;12/03/08;1
71;E001254;E000233;18/02/08;1
71;E001255;E000129;28/02/08;1
71;E001256;E000128;22/02/08;1
71;E001257;E000992;03/03/08;1
71;E001259;E000129;01/04/08;1
71;E001260;E000129;01/04/08;1
71;E001261;E000813;02/04/08;1
71;E001262;E000813;17/04/08;1
71;E001265;E000812;17/03/08;1
71;E001266;E000871;22/10/10;1
71;E001267;E000901;14/05/15;1
71;E001268;E000902;17/03/08;1
71;E001278;E000128;03/04/08;1
71;E001280;E000128;12/06/08;1
71;E001281;E000241;27/05/09;1
71;E001282;E000812;20/10/09;1
71;E001284;E000241;03/11/09;1
71;E001285;E000813;05/11/09;1
71;E001286;E000813;05/11/09;1
71;E001287;E000131;10/11/09;1
71;E001288;E000850;10/11/09;1
71;E001289;E000241;12/11/09;1
71;E001290;E000643;29/05/20;1
71;E001291;E000233;24/11/09;1
71;E001292;E000813;17/11/09;1
71;E001293;E000129;20/11/09;1
71;E001294;E001277;19/11/09;1
71;E001296;E000129;20/11/09;1
71;E001297;E000812;13/01/10;1
71;E001298;E000233;02/12/09;1
71;E001299;E000850;02/12/09;1
71;E001303;E000233;28/12/09;1
71;E001304;E000131;30/12/09;1
71;E001305;E000128;30/12/09;1
71;E001306;E000850;29/12/09;1
71;E001307;E000129;30/12/09;1
71;E001308;E000812;30/12/09;1
71;E001309;E000812;30/12/09;1
71;E001311;E000128;18/01/10;1
71;E001312;E000129;18/01/10;1
71;E001313;E000131;03/02/10;1
71;E001317;E000131;01/02/10;1
71;E001319;E001101;15/02/10;1
