PLANT;SELL_ORD;SELL_ORDER_TYPE
71;240.488;VD
71;240.491;VD
71;240.493;VM
71;240.496;VD
71;240.497;VD
71;240.498;VD
71;240.499;VM
71;240.501;VM
71;240.502;VD
71;240.503;VD
71;240.504;VD
71;240.505;VM
71;240.506;VM
71;240.507;VD
71;240.508;VM
71;240.509;VD
71;240.510;VD
71;240.511;VD
71;240.512;VD
71;240.513;VD
71;240.514;VM
71;240.515;VD
71;240.516;VD
71;240.517;VD
71;240.518;VM
71;240.521;VM
71;240.522;VM
71;240.523;VD
71;240.524;VD
71;240.525;VM
71;240.526;VD
71;240.527;VD
71;240.528;VD
71;240.529;VD
71;240.531;VD
71;240.532;VD
71;240.533;VD
71;240.535;VD
71;240.537;VM
71;240.538;VM
71;240.539;VD
71;240.540;VD
71;240.541;VD
71;240.542;VD
71;240.543;VD
71;240.544;VD
71;240.545;VD
71;240.546;VD
71;240.547;VD
71;240.548;VD
71;240.550;VD
71;240.554;VM
71;240.558;VD
71;240.559;VD
71;240.560;VD
71;240.562;VG
71;240.564;VD
71;240.565;VM
71;240.567;VD
71;240.568;VD
71;240.569;VD
71;240.570;VD
71;240.571;VD
71;240.572;VD
71;240.573;VD
71;240.574;VD
71;240.575;VD
71;240.576;VD
71;240.577;VD
71;240.578;VD
71;240.581;VD
71;240.582;VD
71;240.583;VD
71;240.584;VD
71;240.585;VD
71;240.587;VD
71;240.590;VD
71;240.591;VD
71;240.592;VM
71;240.594;VM
71;240.596;VM
71;240.597;VM
71;240.598;VM
71;240.601;VD
71;240.602;VM
71;240.604;VD
71;240.605;VD
71;240.606;VM
71;240.607;VD
71;240.608;VD
71;240.610;VM
71;240.611;VD
71;240.612;VD
71;240.613;VD
71;240.614;VD
71;240.615;VD
71;240.617;VM
71;240.618;VM
71;240.619;VD
71;240.620;VM
71;240.621;VD
71;240.622;VM
71;240.623;VM
71;240.624;VM
71;240.625;VD
71;240.626;VD
71;240.627;VM
71;240.628;VM
71;240.629;VM
71;240.630;VM
71;240.631;VM
71;240.632;VD
71;240.634;VD
71;240.638;VM
71;240.639;VD
71;240.640;VD
71;240.641;VD
71;240.643;VD
71;240.644;VD
71;240.645;VD
71;240.646;VM
71;240.647;VM
71;240.648;VM
71;240.649;VD
71;240.650;VD
71;240.651;VD
71;240.652;VD
71;240.653;VD
71;240.654;VD
71;240.655;VD
71;240.656;VM
71;240.657;VM
71;240.658;VM
71;240.659;VM
71;240.660;VM
71;240.661;VD
71;240.662;VD
71;240.663;VD
71;240.664;VD
71;240.665;VM
71;240.666;VD
71;240.667;VD
71;240.668;VM
71;240.669;VD
71;240.670;VD
71;240.671;VD
71;240.672;VD
71;240.675;VD
71;240.676;VD
71;240.677;VD
71;240.678;VD
71;240.679;VD
71;240.680;VD
71;240.681;VM
71;240.682;LP
71;240.683;VD
71;240.687;VM
71;240.688;VD
71;240.690;LP
71;240.695;DM
71;240.699;LP
71;240.701;VD
71;240.703;VD
71;240.704;VD
71;240.705;VD
71;240.706;VD
71;240.707;VM
71;240.709;VM
71;240.710;VD
71;240.711;VD
71;240.712;VM
71;240.714;VM
71;240.715;VM
71;240.716;VM
71;240.717;VD
71;240.718;VD
71;240.719;VM
71;240.721;VD
71;240.724;VD
71;240.725;VD
71;240.726;VD
71;240.727;VD
71;240.728;RG
71;240.729;VM
71;240.730;VD
71;240.731;VD
71;240.743;VM
71;240.744;VD
71;240.745;VD
71;240.746;VD
71;240.747;VD
71;240.748;VD
71;240.752;VD
71;240.753;VM
71;240.755;VM
71;240.756;VD
71;240.757;VD
71;240.758;VD
71;240.759;VM
71;240.760;VM
71;240.761;VD
71;240.763;VD
71;240.767;VD
71;240.770;VD
71;240.771;VD
71;240.772;VD
71;240.773;VD
